,年份,创新指数,私营企业工商注册登记户数（户）,就业人员数（万人）,居民消费价格指数((上年=100)),城镇居民人均可支配收入（元）,实际利用外资额(万美元),GDP(亿元),第二产业增加值,第三产业增加值,高等教育在校学生数(人),专利申请授权数,金融机构人民币各项贷款余额（亿元）,一般公共预算支出（亿元）,医疗卫生机构数,地区
125,2010年,0.0214392803598201,143000,667.0,103.5,21799.85,1084872,6830.76,3259.7,3439.3,429200,10998,13111.57,1376.84,277,天津市
126,2011年,0.0234859675036928,159000,677.0,104.9,24158.42,1305602,8112.51,3756.3,4215.15,449700,13982,15242.17,1796.33,296,天津市
127,2012年,0.024963924963925,173000,693.0,102.7,26586.34,1501633,9043.02,4134.0,4761.1,473100,20003,17392.06,2143.21,304,天津市
128,2013年,0.0267229254571027,190000,711.0,103.1,28979.82,1682897,9945.4,4407.1,5383.55,489900,24856,19453.31,2549.21,333,天津市
129,2014年,0.0318941504178273,229000,718.0,101.9,31506.03,1886676,10640.62,4615.5,5866.3,505800,26351,21715.99,2884.7,373,天津市
130,2015年,0.0406685236768802,292000,718.0,101.7,34101.35,2113444,10879.51,4489.6,6227.6,512900,37342,24500.91,3232.35,402,天津市
131,2016年,0.0526241134751773,371000,705.0,102.1,37109.57,1010045,11477.2,4368.0,6940.8,513800,39734,27367.97,3699.43,421,天津市
132,2017年,0.0631578947368421,432000,684.0,102.1,40277.54,1060784,12450.56,4564.1,7717.5,514700,41675,30103.05,3282.54,426,天津市
133,2018年,0.0733630952380952,493000,672.0,102.0,42976.25,485104,13362.92,4835.3,8352.32,523300,54680,32539.42,3103.16,420,天津市
134,2019年,0.0840667678300455,554000,659.0,102.7,46118.89,473161,14055.46,4947.2,8922.9,539400,57799,34874.04,3555.71,441,天津市
135,2020年,0.097613601236476,631560,647.0,102.0,47658.5,473536,14007.99,4911.8,8885.9,572200,75434,37690.44,3151.35,424,天津市
136,2021年,0.106409360374415,682084,641.0,101.3,51485.7,538900,15685.05,5672.7,9746.5,583400,97910,40043.39,3152.55,432,天津市
137,2022年,0.113503888024883,729830,643.0,101.9,53003.23,595000,16311.34,6038.93,9999.26,594500,71500,42098.5,2740.07,435,天津市
138,2000年,0.0046242221158449,19320,417.8,100.5,6763.0,130000,1207.0,534.0,592.0,251900,1148,1342.94,88.14,220,武汉市
139,2001年,0.00519773454814085,21108,406.1,99.5,7304.0,143200,1347.8,595.0,668.0,308300,1294,1518.73,112.55,219,武汉市
140,2002年,0.00781905229560521,31847,407.3,98.6,7820.0,157600,1493.09,660.49,743.07,390700,1302,2004.75,147.25,276,武汉市
141,2003年,0.011845145631068,48802,412.0,102.3,8524.52,176200,1662.4,741.8,826.4,490500,1559,2525.13,171.4,262,武汉市
142,2004年,0.0146332934131737,61094,417.5,103.3,9564.05,152000,1956.0,903.0,950.0,615800,1600,2854.95,163.85,308,武汉市
143,2005年,0.017527027027027,73929,421.8,102.7,10849.72,174000,2238.0,1019.0,1109.43,693500,2382,3170.88,204.92,241,武汉市
144,2006年,0.0206338454376164,88643,429.6,101.4,12359.98,200100,2590.0,1194.0,1280.09,747227,2855,3673.68,257.81,243,武汉市
145,2007年,0.0236379466304839,104527,442.2,104.1,14357.64,225000,3141.9,1440.0,1572.75,778368,4044,4397.65,307.23,235,武汉市
146,2008年,0.0276594298245614,126127,456.0,105.7,16712.44,257000,3960.08,1827.65,1987.73,809716,5329,5176.23,377.88,240,武汉市
147,2009年,0.0294933845497226,138206,468.6,99.4,18385.02,293500,4621.0,2142.14,2329.66,846315,5500,7069.38,503.64,241,武汉市
148,2010年,0.0301242236024845,145500,483.0,103.0,20806.32,329300,5565.9,2532.82,2863.1,881433,10165,9093.71,583.55,236,武汉市
149,2011年,0.032710843373494,162900,498.0,105.2,23738.09,376000,6762.2,3254.02,3309.48,920373,11588,10157.53,765.04,243,武汉市
150,2012年,0.0329539889415482,166879,506.4,102.8,27061.0,444400,8003.82,3869.56,3833.05,946991,13698,11575.84,885.55,256,武汉市
151,2013年,0.0361930294906166,189000,522.2,102.4,29821.22,525000,9051.27,4396.17,4319.7,966438,15901,12803.87,1122.88,242,武汉市
152,2014年,0.0441176470588235,234000,530.4,101.9,33270.0,619900,10069.48,4785.66,4933.76,962106,16335,14463.4,1175.1,266,武汉市
153,2015年,0.0519361350706552,283000,544.9,101.4,36436.0,734300,10905.6,4981.54,5564.25,956789,21740,17135.79,1338.05,291,武汉市
154,2016年,0.0692650799418605,381235,550.4,102.4,39737.0,852300,11912.61,5227.25,6294.62,948768,22967,20754.87,1524.68,317,武汉市
155,2017年,0.0818533947881581,461735,564.1,101.9,43405.0,964700,13410.34,5861.35,7140.79,947651,25528,23947.76,1728.28,354,武汉市
156,2018年,0.0910979204191911,556335,610.7,101.9,47359.0,1092700,14847.29,6377.75,8107.54,969323,32397,28270.77,1929.31,398,武汉市
157,2019年,0.0984201572781255,613256,623.1,103.2,51706.0,1230900,16223.0,5988.88,9855.34,1006894,39258,32114.31,2237.1,407,武汉市
158,2020年,0.115439052666446,697021,603.8,102.4,50362.0,1116500,15616.0,5558.0,9656.0,1067206,58923,36885.97,2407.81,362,武汉市
159,2021年,0.124170608640807,787490,634.2,100.6,55297.0,1257179,17716.76,6208.34,11064.21,1105576,86379,40825.42,2215.97,364,武汉市
160,2022年,0.131649929167323,836372,635.3,102.3,58449.0,1293637,18866.43,6716.65,11673.99,1135373,89461,44383.81,2223.15,362,武汉市
161,2000年,0.00343528610354223,10086,293.6,101.7,7944.0,80100,1003.27,466.73,401.36,65700,982,883.05,68.63,71,福州市
162,2001年,0.00436144578313253,12670,290.5,98.7,8675.0,100200,1074.23,505.63,435.96,91500,1007,1157.15,73.56,73,福州市
163,2002年,0.00614334239130435,18086,294.4,99.1,9147.0,120200,1160.53,556.68,467.82,101000,1132,1157.79,81.06,72,福州市
164,2003年,0.00727869167253408,22743,312.46,100.8,10123.0,130200,1347.28,681.88,520.71,128700,1294,1367.21,88.63,72,福州市
165,2004年,0.00817190906259732,26240,321.1,104.5,11436.0,136000,1548.46,799.2,591.23,160700,1341,1555.98,94.85,74,福州市
